formula,aic,rSquare,warn
route ~ + children + flowRate + modelYear + seatBelts + travelTime,22.89678414,0.78757,
route ~ + flowRate + income + lights + maritalStatus + travelTime,20.00758203,0.8439,
route ~ + children + distance + sex,27.57131469,0.61847,
route ~ + flowRate + income + modelYear + origin,22.72050575,0.75202,
route ~ + age + children + distance + passengers + sex,21.17775903,0.82108,
route ~ + age + children + income + lights + travelTime,39.90525107,0.456,
route ~ + flowRate + income + lights + maritalStatus,20.50377196,0.79523,
route ~ + age + distance + maritalStatus + seatBelts + sex,23.26068039,0.78048,
route ~ + flowRate + income + lights + maritalStatus + sex,21.08389939,0.82291,
route ~ + children + flowRate + lights + maritalStatus + origin,21.40739744,0.81661,
route ~ + children + distance + maritalStatus + origin,28.51218467,0.63912,
route ~ + distance + modelYear + origin + seatBelts + sex,27.37234948,0.70032,
route ~ + flowRate + maritalStatus + modelYear + origin,22.58653515,0.75463,
route ~ + children + flowRate + lights + sex + travelTime,19.87253184,0.84653,
route ~ + age + distance + income + travelTime,24.53020299,0.71674,
route ~ + age + children + distance + income + seatBelts,26.46148153,0.71808,
route ~ + age + children + distance + sex + travelTime,21.17235001,0.82119,
route ~ + flowRate + lights + maritalStatus + origin + seatBelts,20.58683656,0.8326,
route ~ + age + distance + maritalStatus + modelYear + passengers,24.78587935,0.75075,
route ~ + flowRate + lights + passengers + seatBelts,19.5317437,0.81418,
route ~ + lights + modelYear + seatBelts + sex + travelTime,36.27852151,0.5267,
route ~ + age + income + lights + origin,39.31834265,0.42845,
route ~ + flowRate + maritalStatus + modelYear + seatBelts,23.06555462,0.74529,
route ~ + age + distance + maritalStatus + modelYear + travelTime,21.28051025,0.81908,
route ~ + distance + maritalStatus + modelYear + origin + passengers,25.6667702,0.73357,
route ~ + distance + modelYear + seatBelts + travelTime,27.36129494,0.66155,
route ~ + flowRate + maritalStatus + origin + sex,24.66854647,0.71404,
route ~ + children + flowRate + lights + maritalStatus + seatBelts,20.80018944,0.82845,
route ~ + age + lights + sex + travelTime,38.91882565,0.43624,
route ~ + flowRate + income + maritalStatus + modelYear + origin,24.18696951,0.76242,
route ~ + children + distance + maritalStatus + modelYear + sex,27.32167666,0.70131,
route ~ + flowRate + income + lights + maritalStatus + seatBelts,20.86951033,0.82709,
route ~ + distance + income + modelYear + travelTime,27.40073248,0.66078,
route ~ + flowRate + income + maritalStatus + modelYear,23.17588907,0.74314,
route ~ + flowRate + income + lights + origin + seatBelts,20.71604115,0.83009,
route ~ + age + children + distance + modelYear + passengers,24.96000581,0.74735,
route ~ + lights + maritalStatus + modelYear + origin + travelTime,38.6768062,0.47995,
route ~ + flowRate + income + modelYear + seatBelts + travelTime,22.94286061,0.78667,
route ~ + lights + maritalStatus + modelYear + origin + sex,36.24046489,0.52745,
route ~ + flowRate + income + origin + sex + travelTime,24.45164254,0.75726,
route ~ + distance + travelTime,27.20480658,0.58662,
route ~ + age + children + distance + passengers,24.21524833,0.72288,
route ~ + age + lights + travelTime,38.30259145,0.40927,
route ~ + age + distance + income + maritalStatus + sex,23.45789328,0.77663,
route ~ + age + distance + income + modelYear + origin,26.86354998,0.71024,
route ~ + age + distance + income + maritalStatus + travelTime,25.14690437,0.74371,
route ~ + children + lights + modelYear + sex,35.67403828,0.4995,
route ~ + flowRate + maritalStatus + modelYear + origin + seatBelts,24.06966753,0.76471,
route ~ + distance + origin + travelTime,28.05244188,0.60909,
route ~ + children + flowRate + modelYear + travelTime,21.8173631,0.76963,
route ~ + age + distance + income + origin + sex,23.11590473,0.7833,
route ~ + flowRate + income + lights + sex + travelTime,19.93855571,0.84524,
route ~ + income + lights + modelYear + origin + sex,36.26865268,0.5269,
route ~ + children + distance,27.30310472,0.58471,
route ~ + flowRate + modelYear + passengers + travelTime,21.7988492,0.76999,
route ~ + flowRate + lights + passengers + seatBelts + sex,20.55096081,0.8333,
route ~ + age + distance + passengers + travelTime,23.72422907,0.73245,
route ~ + distance + income + modelYear + origin + travelTime,28.78605432,0.67277,
route ~ + flowRate + income + lights + seatBelts + sex,20.55496535,0.83323,
route ~ + flowRate + lights + maritalStatus + passengers + seatBelts,20.86611205,0.82716,
route ~ + age + distance + passengers + sex,21.79589257,0.77005,
route ~ + age + children + distance + origin + travelTime,25.64440204,0.73401,
route ~ + flowRate + lights + origin + passengers + seatBelts,20.72950024,0.82982,
route ~ + age + lights + modelYear + travelTime,36.87760563,0.47604,
route ~ + children + flowRate + lights + maritalStatus + travelTime,20.09600174,0.84217,
route ~ + age + children + distance + income + origin,26.38802054,0.71951,
route ~ + children + distance + maritalStatus + origin + sex,28.82170207,0.67207,
route ~ + children + distance + modelYear + sex + travelTime,26.55802872,0.7162,
route ~ + flowRate + modelYear + origin + sex + travelTime,22.28855047,0.79943,
route ~ + children + distance + income + sex + travelTime,29.74076404,0.65415,
route ~ + age + children + distance + income + maritalStatus,26.40263646,0.71923,
route ~ + flowRate + modelYear + passengers + seatBelts + travelTime,22.94843823,0.78657,
route ~ + flowRate + lights + passengers + sex,19.96739144,0.80569,
route ~ + flowRate + lights + passengers + sex + travelTime,19.9510859,0.845,
route ~ + children + flowRate + modelYear + origin + travelTime,22.29291801,0.79935,
route ~ + modelYear,51.37605563,0.07643,
route ~ + flowRate + modelYear + origin + passengers + travelTime,22.29030174,0.7994,
route ~ + children + flowRate + maritalStatus + modelYear + travelTime,23.25999486,0.78049,
route ~ + children + flowRate + income + lights,20.58489142,0.79365,
route ~ + age + children + distance + maritalStatus + seatBelts,26.49975468,0.71734,
route ~ + flowRate + sex,23.90500642,0.65095,
route ~ + lights + maritalStatus + modelYear + sex + travelTime,36.31107965,0.52607,
route ~ + lights + origin + sex + travelTime,39.65993542,0.4218,
route ~ + age + children + income + lights,39.29858818,0.42884,
